,title,brand,price,rating,reviewCount,description,categories
57,Men's Regular Fit T-Shirt,U.S. POLO ASSN.,849,3.5,13,"Y/D POLO T SHIRT, XL",Mens-wear
58,Men's Regular Fit T-Shirt,U.S. POLO ASSN.,479,3.8,50,Half sleeve polo t shirt.,Mens-wear
59,Men T-Shirts,U.S. POLO ASSN.,659,No reviews,,"Nothing beats a comfortable and stylish t-shirt, which is a must-have in every wardrobe. This one by U.S Polo features a crew neck and short sleeves and is made from a premium quality fabric for a soft touch. Create your own style by pairing with slim fit jeans and converse shoes.",Mens-wear
60,All-Over Brand Print T-Shirt,U.S. POLO ASSN.,"1,499",New to Amazon,,,Mens-wear
61,Mens Cotton Polo Neck Short Sleeve Regular T-Shirt Blue,Being Human,967,No reviews,,"About: Being Human Clothing was founded in 2012 to further the objective of Being Human - The Salman Khan Foundation, a charitable trust devoted to education and healthcare initiatives for the underserved population in India.It always something special when the will to do good inspires the creation of a brand. Also, it isn all the time that an actor star power has been able to translate into a viable fashion brand with an identity that stands apart from the rest. Both these rare events come together in the form of Being Human.The story behind Begin Human is a fascinating one.The core values of the brand are Love, Care, Share, Help, Hope and Joy. Today, the brand has made its presence felt in fifteen countries worldwide",Mens-wear
62,Men Polo Shirt,U.S. POLO ASSN.,,4.6,3,"HALF SLEEVE POLO, S",Mens-wear
63,Men's Slim Fit Polo Shirt,United Colors of Benetton,"1,399",3.8,153,"Benetton Group is one of the best-known fashion companies in the world, present in the most important markets in the world. Benetton Group products are subject to specific chemical tests and controls based on the materials from which they are made as well as their characteristics. The analyses, carried out on materials throughout the production chain, are entrusted to independent laboratories, selected among the most prestigious in the world.",Mens-wear
64,Men's Regular Fit T-Shirt,Campus Sutra,399,3.4,11,,Mens-wear
65,Mens Printed Round Neck T-Shirt - My Music Navy Blue,Tantra,699,No reviews,,"TANTRA is Asia's pioneering t-shirt brand, created by award-winning 't-shirt art' specialists, an eclectic group of cutting edge graphic artists, copywriters, leading cartoonists, poets and day dreamers. Originally created as 'India-on-a-t-shirt', TANTRA now offers a mind boggling array of uber-cool, urbane, t-shirt art, covering a whole range of issues, guaranteed to make you laugh out loud, or dazzle you with its stunning art. ""Success means never having to wear a suit"" Tantra t-shirt's superb fit, and soft, comfy fabric, are due to its uncompromising attention to detail and rigid QC standards. Available: Unisex/women/kids/polos/plains/ shorts, and other creative spin-offs, always with our unique and humourous and whacky twists!",Mens-wear
66,Men T-Shirt,Puma,"1,539",No reviews,,"Designed for comfortable wear for sports and street-style, PUMA apparels are always fun to wear. Upgrade in style with wide range of apparels form the world’s leading and much-loved sports brand, PUMA.",Mens-wear
67,Men's Regular Fit Tshirt&Polo,OOBANI,289,3.3,41,Oobani offers classic men's tees in a wide variety of colours and styles. Oobani tees are made from 100% cotton to offer all day comfort.,Mens-wear
68,Men's Black Active T-Shirt,Red Tape,399,4.0,56,"Go casual with this basic navy blue tee, designed for everyday wear. Lightweight and knit in dotted jersey, this tee is comfortable and breathable. The solid chest print gives it a cool element. Easy to maintain and quick to druy, the tee can be used to hit the gym.",Mens-wear
69,Vkartu Men Printed Round Neck T-Shirt,Generic,399,New to Amazon,,"This will be suitable for casual day outs, weekends, holidays, and even everyday wear. Style - Casual, Classic, Unique. This Classic Casual And Fashionable T-Shirt Will Give You Awesome And Rich Look. It Will Be Comfortable For All Seasons.",Mens-wear
70,Jujutsu Kaisen Anime I’ll Murder You Tie Dye (Oversize Drop-Shoulder) Cotton Printed T Shirt,ComicSense.xyz,849,No reviews,,,Mens-wear
71,"Mens Cotton Half Sleeve Regular fit Round Neck Blue, White T-Shirt",REYA,332,No reviews,,"Reya Presents you Cotton half sleeve Tshirt with different Colors. It keeps you comfortable through out the day. Its made up of High Quality Cotton. GSM - 160. It Gives you perfect fit, comfort feel and handsome look.",Mens-wear
72,Men's Regular Fit Polo Shirt,Wrangler,466.,4.0,5,This is a Cotton T Shirt suitable for mens,Mens-wear
73,Men Tshirt,Max,404,4.3,24,MAX Solid Slim Fit Polo T-shirt,Mens-wear
74,Men Basic Solid Round Neck Regular fit T-Shirt and Short Set,FIONAA TRENDZ,449,No reviews,,,Mens-wear
75,Men's Classic Fit T-Shirt(Pack of 2),BULLMER,399,3.6,34,"Shop from a wide range of T-Shirt from BULLMER . Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",Mens-wear
76,"Men's Full Sleeve Plain Athletic Fit Multi Sports Compression T-Shirt for Cycling and Gym (XX-Large, Black)",NEVER QUIT,332,No reviews,,"Never Quit most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles and reduces blood lactate build up, to enhance performance and speed up recovery time. Never Quit compression top increases circulation and reduces fatigue, also risk of injury ,so you can go harder for longer. Perfect for any kind of sport.",Mens-wear
77,Men’s Round Neck Regular Fit T-Shirt,Diversify,399,3.3,164,,Mens-wear
78,"Oversize, Loose Fit, Drop Shoulder, Baggy Fit, Round Neck Skellaton Printed T-Shirt for Men/Boys",Veirdo,389,4.6,3,,Mens-wear
79,Mens Cotton Shortsleeve Printed White Polo T-Shirt,Harbour 9,974,No reviews,,,Mens-wear
80,Men's Slim Fit T-Shirt,Peter England,449.,4.7,4,Peter England Light Grey Solid Half Sleeve Slim Fit Crew Neck T-Shirt,Mens-wear
81,Slipknot01 Band Printed T-Shirt for Men,INDISSH,599,3.9,33,INDISSH We make sure our apparels are rafted under our watchful eyes; with premium quality. The fabric is breathable. The stitches are seamed in a way that it will contour your physique and accentuates your style quotient. No harmful chemicals are used in manufacturing our dyes.We ensure that our colors don't run off and stay same for a very long time. We at INDISSH; Wear Your Opinion; abide by what we believe in; our products are known for its quality; durability; styling. unique representation and lot more. The T-shirt comes with a super-soft material. Definitely gives a nice touch to this piece. The T-shirt fits regularly; neither too fit nor too loose. What's more with all these qualities mentioned; our t-shirts come at extremely prices!,Mens-wear
